"Bug编号","所属产品","所属模块","所属项目","相关需求","相关任务","Bug标题","关键词","严重程度","优先级","Bug类型","操作系统","浏览器","重现步骤","Bug状态","截止日期","激活次数","是否确认","抄送给","由谁创建","创建日期","影响版本","指派给","指派日期","解决者","解决方案","解决版本","解决日期","由谁关闭","关闭日期","重复ID","相关Bug","相关用例","最后修改者","修改日期","附件"
"13285","AC-直播学生端(#10)","通用(#16)","AC_iPad_3.0.0_ACC(#416)","","","debug=1的情况下，ACC课程单元介绍未解锁问题","","2","2","代码错误","","","[步骤][结果][期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2020-01-06","主干(#trunk)","Closed","2020-01-06","黄章明","已解决","主干(#trunk)","2020-01-06","胡春霞","2020-01-06","0","","","胡春霞","2020-01-06","",""
"13286","AC-直播学生端(#10)","通用(#16)","ACC_作业模板v1.0(#431)","","","ipad和ios端，题干部分有语音时，会延迟2-3s","","3","","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","褚涛涛","2020-01-06","主干(#trunk)","Closed","2020-01-11","曾扬平","已解决","主干(#trunk)","2020-01-07","褚涛涛","2020-01-11","0","","","褚涛涛","2020-01-11","",""
"13287","AC-直播学生端(#10)","通用(#16)","AC_iPhone_3.0.0(#406)","","","【iPhone3.0.0】-->少儿英语大师拼读课堂：课程详情页已做过的作业再次点击做作业没有反应。","","3","","代码错误","IOS","","bug描述：线上  测试账号：00120000000
","已关闭","0000-00-00","0","已确认",",","倪明敏","2020-01-06","主干(#trunk)","Closed","2020-01-07","俞立荣","已解决","iPhone_3.0_ACC_1.5(#995)","2020-01-07","倪明敏","2020-01-07","0","","","倪明敏","2020-01-07","",""
"13288","AC-直播学生端(#10)","通用(#16)","ACC_作业模板v1.0(#431)","","","上课前进入上课页面等待，到上课时间之后，页面没有刷新","","3","","代码错误","","","[步骤][结果][期望]","已关闭","0000-00-00","0","已确认",",","黄冬琴","2020-01-06","主干(#trunk)","Closed","2020-01-10","黄冬琴","已解决","主干(#trunk)","2020-01-10","黄冬琴","2020-01-10","0","","","黄冬琴","2020-01-10","",""
"13290","AC-直播学生端(#10)","通用(#16)","AC_Windows_3.0.0_ACC(#418)","","","crm没有配英文名称，应该是不显示的","","3","3","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","娄基深","2020-01-06","主干(#trunk)","Closed","2020-01-09","姜文乐","已解决","主干(#trunk)","2020-01-06","娄基深","2020-01-09","0","","","娄基深","2020-01-09","",""
"13293","AC-直播学生端(#10)","通用(#16)","AC_Windows_3.0.0_ACC(#418)","","","新用户购买ngk，选择L0，对勾标识显示不对","","3","3","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","娄基深","2020-01-06","主干(#trunk)","Closed","2020-01-06","王财坡","已解决","win_3.1.0(#955)","2020-01-06","娄基深","2020-01-06","0","","","娄基深","2020-01-06","",""
"13294","AC-直播学生端(#10)","通用(#16)","ACC_作业模板v1.0(#431)","","","PC端单元测试语音评测speaking环节，未做题时，下一题按钮样式变成可点击状态，实际上点击不会跳转 到下一题","","3","","代码错误","","","","已关闭","0000-00-00","0","已确认",",","褚涛涛","2020-01-06","主干(#trunk)","Closed","2020-01-10","曾扬平","外部原因","主干(#trunk)","2020-01-09","褚涛涛","2020-01-10","0","","","褚涛涛","2020-01-10","",""
"13295","AC-直播学生端(#10)","通用(#16)","ACC_作业模板v1.0(#431)","","","已经解锁的课程再列表页面还会展示解锁动画","","3","","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","黄冬琴","2020-01-06","主干(#trunk)","Closed","2020-01-06","陈明泉","设计如此","主干(#trunk)","2020-01-06","黄冬琴","2020-01-06","0","","","黄冬琴","2020-01-06","",""
"13297","AC-直播学生端(#10)","通用(#16)","AC_Windows_3.0.0_ACC(#418)","","","查看回放时间不对","","3","3","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","娄基深","2020-01-06","主干(#trunk)","Closed","2020-01-06","王财坡","已解决","win_3.1.0(#955)","2020-01-06","娄基深","2020-01-06","0","","","娄基深","2020-01-06","",""
"13304","AC-直播学生端(#10)","通用(#16)","AC_iPad_3.0.0_ACC(#416)","","","回放视频中时间显示问题","","3","3","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2020-01-06","主干(#trunk)","Closed","2020-01-08","张津铭","已解决","ACC_iPad_3.0.1_0106(#1036)","2020-01-06","胡春霞","2020-01-08","0","","","胡春霞","2020-01-08","",""
"13305","AC-直播学生端(#10)","通用(#16)","AC_Windows_3.0.0_ACC(#418)","","","acc课程tittle显示错误","","3","3","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","娄基深","2020-01-06","主干(#trunk)","Closed","2020-01-06","王财坡","已解决","win_3.1.0ACC(#999)","2020-01-06","娄基深","2020-01-06","0","","","娄基深","2020-01-06","",""
"13314","AC-直播学生端(#10)","通用(#16)","ACC_作业模板v1.0(#431)","","","android paid课后作业列表，下面部分遮挡","","3","","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","黄冬琴","2020-01-06","主干(#trunk)","Closed","2020-01-07","尤灵刚","已解决","AC3.0.0 200107(#1044)","2020-01-06","黄冬琴","2020-01-07","0","","","黄冬琴","2020-01-07","",""
"13316","AC-直播学生端(#10)","通用(#16)","ACC_作业模板v1.0(#431)","","","android paid中quiz环节，退出重进后，星星页面中没有黄色的星星","","3","","代码错误","","","[步骤][结果][期望]","已关闭","0000-00-00","0","已确认",",","黄冬琴","2020-01-06","主干(#trunk)","Closed","2020-01-07","周俊","已解决","主干(#trunk)","2020-01-07","黄冬琴","2020-01-07","0","","","黄冬琴","2020-01-07","",""
"13320","AC-直播学生端(#10)","通用(#16)","AC_iPad_3.0.0_ACC(#416)","","","课程详情页无法进入NGKL2的作业","","2","2","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","1","已确认",",","胡春霞","2020-01-06","主干(#trunk)","Closed","2020-01-08","张津铭","已解决","ACC_iPad_3.0.1_0107(#1037)","2020-01-07","胡春霞","2020-01-08","0","","","胡春霞","2020-01-08","",""
"13322","AC-直播学生端(#10)","通用(#16)","ACC_作业模板v1.0(#431)","","","偶现：andriod端点击单元测试卡片闪退","","3","3","代码错误","","","","已关闭","0000-00-00","0","已确认",",","褚涛涛","2020-01-06","主干(#trunk)","Closed","2020-01-10","马李鑫","已解决","AC3.0.0 01071504(#1051)","2020-01-07","褚涛涛","2020-01-10","0","","","褚涛涛","2020-01-10","",""
"13325","AC-直播学生端(#10)","通用(#16)","ACC_作业模板v1.0(#431)","","","ipad单元测试报告页，应该全屏展示，不展示跳转链接","","3","3","代码错误","","","","已关闭","0000-00-00","0","已确认",",","褚涛涛","2020-01-06","主干(#trunk)","Closed","2020-01-10","张津铭","已解决","ACC_iPad_3.0.1_0106(#1036)","2020-01-06","褚涛涛","2020-01-10","0","","","褚涛涛","2020-01-10","",""
"13326","AC-直播学生端(#10)","通用(#16)","AC_Windows_3.0.0_ACC(#418)","","","购买课程入口的二维码扫码错误","","2","2","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","娄基深","2020-01-06","主干(#trunk)","Closed","2020-01-07","孙林超","已解决","主干(#trunk)","2020-01-06","娄基深","2020-01-07","0","","","娄基深","2020-01-07","",""
"13331","AC-直播学生端(#10)","通用(#16)","AC_AndroidPhone_3.0.0_ACC(#419)","","","【安卓3.0.0_ACC】-->课程列表：leveltest和unittest的图片后端都没给，但是显示了图片。","","3","3","代码错误","","","bug描述：预发环境  账号00111111625

","已关闭","0000-00-00","0","已确认",",","倪明敏","2020-01-06","主干(#trunk)","Closed","2020-01-08","马李鑫","已解决","AC3.0.0 01071715(#1052)","2020-01-07","倪明敏","2020-01-08","0","","","倪明敏","2020-01-08","",""
"13332","AC-直播学生端(#10)","通用(#16)","ACC_作业模板v1.0(#431)","","","Ipad端测试分数有小数时，点击单元测试有报错信息","","3","3","代码错误","","","","已关闭","0000-00-00","0","已确认",",","褚涛涛","2020-01-06","主干(#trunk)","Closed","2020-01-10","张津铭","已解决","ACC_iPad_3.0.1_0106(#1036)","2020-01-06","褚涛涛","2020-01-10","0","","","褚涛涛","2020-01-10","",""
"13333","AC-直播学生端(#10)","通用(#16)","AC_iPhone_3.0.0_ACC(#417)","","","【iPhone3.0.0_ACC】-->课程列表：等级测试没有解锁的情况下点击没有toast提示。（有多个状态需要注意）","","3","3","代码错误","IOS","","bug描述：预发环境   测试账号：00111111628



","已关闭","0000-00-00","0","已确认",",","倪明敏","2020-01-06","主干(#trunk)","Closed","2020-01-07","周松","已解决","主干(#trunk)","2020-01-06","倪明敏","2020-01-07","0","","","倪明敏","2020-01-07","",""
"13338","AC-直播学生端(#10)","通用(#16)","AC_iPhone_3.0.0_ACC(#417)","","","【iPhone3.0.0_ACC】-->课程详情：已完成的video环节再次点击观看报错。（unit1第一课）","","3","3","代码错误","IOS","","bug描述：预发环境   测试账号：00111111628




","已关闭","0000-00-00","0","已确认",",","倪明敏","2020-01-06","主干(#trunk)","Closed","2020-01-09","胡春霞","已解决","主干(#trunk)","2020-01-09","胡春霞","2020-01-09","0","","","胡春霞","2020-01-09","",""
"13349","AC-直播学生端(#10)","通用(#16)","ACC_作业模板v1.0(#431)","","","android端上课时，老师窗口没有显示全","","3","","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","黄冬琴","2020-01-07","主干(#trunk)","Closed","2020-01-09","盛锋","已解决","AC Android 20200109(#1063)","2020-01-09","黄冬琴","2020-01-09","0","","","黄冬琴","2020-01-09","",""
"13352","AC-直播学生端(#10)","通用(#16)","ACC_作业模板v1.0(#431)","","","错题解析，语音评测题，点击播放自己的音频，无播放动效","","3","3","代码错误","","","[步骤]
[结果]
错题解析，语音评测题，点击播放自己的音频，无播放动效
[期望]","已关闭","0000-00-00","0","已确认",",","徐漫漫","2020-01-07","主干(#trunk)","Closed","2020-01-09","曾扬平","已解决","主干(#trunk)","2020-01-07","徐漫漫","2020-01-09","0","","","徐漫漫","2020-01-09","",""
"13353","AC-直播学生端(#10)","通用(#16)","ACC_作业模板v1.0(#431)","","","阅读题，选项内容为空","","3","3","代码错误","","","[步骤]
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","徐漫漫","2020-01-07","主干(#trunk)","Closed","2020-01-09","周俊","已解决","主干(#trunk)","2020-01-07","徐漫漫","2020-01-09","0","","","徐漫漫","2020-01-09","",""
"13355","AC-直播学生端(#10)","通用(#16)","ACC_作业模板v1.0(#431)","","","错题解析里只有24题，单元测试里有25题","","3","2","代码错误","","","[步骤]
[结果]
错题解析里只有24题，单元测试里有25题

[期望]

","已关闭","0000-00-00","0","已确认",",","徐漫漫","2020-01-07","主干(#trunk)","Closed","2020-01-09","曾扬平","已解决","主干(#trunk)","2020-01-07","徐漫漫","2020-01-09","0","","","徐漫漫","2020-01-09","",""
"13358","AC-直播学生端(#10)","通用(#16)","ACC_作业模板v1.0(#431)","","","keypoint环节结束没有星星","","3","","代码错误","","","[步骤][结果][期望]","已关闭","0000-00-00","0","已确认",",","黄冬琴","2020-01-07","主干(#trunk)","Closed","2020-01-07","周俊","已解决","主干(#trunk)","2020-01-07","黄冬琴","2020-01-07","0","","","黄冬琴","2020-01-07","",""
"13361","AC-直播学生端(#10)","通用(#16)","AC_iPad_3.0.0_ACC(#416)","","","课程详情页ngk作业完成状态未更新状态问题","","3","2","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","1","已确认",",","胡春霞","2020-01-07","主干(#trunk)","Closed","2020-01-09","张津铭","已解决","ACC_iPad_3.0.1_0109(#1039)","2020-01-09","胡春霞","2020-01-09","0","","","胡春霞","2020-01-09","",""
"13367","AC-直播学生端(#10)","通用(#16)","AC_iPad_3.0.0_ACC(#416)","","","小课包课程详情页回放看不了问题","","2","2","代码错误","","","[步骤]可以用我线上的账号：18072791151
[结果]
[期望]","已关闭","0000-00-00","1","已确认",",","胡春霞","2020-01-07","主干(#trunk)","Closed","2020-01-09","张津铭","已解决","ACC_iPad_3.0.1_0108(#1038)","2020-01-08","胡春霞","2020-01-09","0","","","胡春霞","2020-01-09","",""
"13369","AC-直播学生端(#10)","通用(#16)","AC_AndroidPhone_3.0.0(#408)","","","【安卓3.0.0】-->课程详情-->课后报告分享：获得了mvp的课程分享图片上没有mvp标记。","","4","4","代码错误","Android","","bug描述：正式服，账号：13567059381




","已关闭","0000-00-00","0","已确认",",","倪明敏","2020-01-07","主干(#trunk)","Closed","2020-01-08","盛锋","已解决","AC Android 3.0.1 20200107(#1053)","2020-01-07","倪明敏","2020-01-08","0","","","倪明敏","2020-01-08","",""
"13370","AC-直播学生端(#10)","通用(#16)","AC_iPhone_3.0.0_ACC(#417)","","","【iPhone3.0.0_ACC】-->课程列表：单元介绍未解锁的情况下点击没有toast提示。","","3","3","代码错误","IOS","","bug描述：预发环境  测试账号：00111111628

","已关闭","0000-00-00","0","已确认",",","倪明敏","2020-01-07","主干(#trunk)","Closed","2020-01-08","周松","已解决","iPhone_3.0_ACC_1.8(#1047)","2020-01-08","倪明敏","2020-01-08","0","","","倪明敏","2020-01-08","",""
"13371","AC-直播学生端(#10)","通用(#16)","ACC_作业模板v1.0(#431)","","","连线题，只选择一个正确答案，错题解析显示该题回答正确","","3","3","代码错误","","","[步骤]
[结果]
账号：00168416684

[期望]","已关闭","0000-00-00","1","已确认",",","徐漫漫","2020-01-07","主干(#trunk)","Closed","2020-01-10","曾扬平","已解决","主干(#trunk)","2020-01-10","徐漫漫","2020-01-10","0","","","徐漫漫","2020-01-10","",""
"13372","AC-直播学生端(#10)","通用(#16)","AC_Background_3.0.0_ACC(#440)","","","acc课程详情页点击video点击完成后报server error","","3","3","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","1","已确认",",","娄基深","2020-01-07","主干(#trunk)","Closed","2020-01-09","郭栋梁","已解决","主干(#trunk)","2020-01-09","胡春霞","2020-01-09","0","","","胡春霞","2020-01-09","",""
"13373","AC-直播学生端(#10)","通用(#16)","ACC_作业模板v1.0(#431)","","","speaking环节重进之后，星星数量不展示","","3","","代码错误","","","[步骤][结果][期望]","已关闭","0000-00-00","1","已确认",",","黄冬琴","2020-01-07","主干(#trunk)","Closed","2020-01-10","曾扬平","延期处理","主干(#trunk)","2020-01-07","黄冬琴","2020-01-10","0","","","黄冬琴","2020-01-10","",""
"13374","AC-直播学生端(#10)","通用(#16)","AC_Windows_3.0.0_ACC(#418)","","","acc课程第一节正课，video看完后没有给钻石弹窗","","3","3","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","娄基深","2020-01-07","主干(#trunk)","Closed","2020-01-07","陈明泉","已解决","主干(#trunk)","2020-01-07","娄基深","2020-01-07","0","","","娄基深","2020-01-07","",""
"13380","AC-直播学生端(#10)","通用(#16)","ACC_作业模板v1.0(#431)","","","完成quiz及之前的流程，点击下一环节，没有跳转report页面","","3","","代码错误","","","[步骤][结果][期望]","已关闭","0000-00-00","1","已确认",",","黄冬琴","2020-01-07","主干(#trunk)","Closed","2020-01-10","张津铭","已解决","ACC_iPad_3.0.1_0107(#1037)","2020-01-07","黄冬琴","2020-01-10","0","","","黄冬琴","2020-01-10","",""
"13382","AC-直播学生端(#10)","通用(#16)","AC_iPad_3.0.0_ACC(#416)","","","acc课表页单元介绍完成后，状态未更新，然后页面卡死，最后闪退","","2","2","代码错误","","","[步骤][结果][期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2020-01-07","主干(#trunk)","Closed","2020-01-09","张津铭","已解决","ACC_iPad_3.0.1_0107(#1037)","2020-01-07","胡春霞","2020-01-09","0","","","胡春霞","2020-01-09","iPadN-2020-01-07-144742.ips
",""
"13383","AC-直播学生端(#10)","通用(#16)","ACC_作业模板v1.0(#431)","","","keypoint环节完成之后，星星页面展示了第二个和第三个星星，没有展示第一个","","3","","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","黄冬琴","2020-01-07","主干(#trunk)","Closed","2020-01-07","周俊","已解决","主干(#trunk)","2020-01-07","黄冬琴","2020-01-07","0","","","黄冬琴","2020-01-07","",""
"13384","AC-直播学生端(#10)","通用(#16)","ACC_作业模板v1.0(#431)","","","keypoint环节完成之后，没有战士星星（pc）","","3","","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","黄冬琴","2020-01-07","主干(#trunk)","Closed","2020-01-07","周俊","已解决","主干(#trunk)","2020-01-07","黄冬琴","2020-01-07","0","","","黄冬琴","2020-01-07","",""
"13385","AC-直播学生端(#10)","通用(#16)","AC_AndroidPhone_3.0.0(#408)","","","【安卓3.0.0】-->设置-->关于我们：华为P30手机关于我们里的版本更新一栏显示有问题。","","4","4","代码错误","Android","","bug描述：正式服，账号：13567059381




","已关闭","0000-00-00","0","已确认",",","倪明敏","2020-01-07","主干(#trunk)","Closed","2020-01-09","盛锋","已解决","AC Android 3.0.1 20200107(#1053)","2020-01-07","倪明敏","2020-01-09","0","","","倪明敏","2020-01-09","",""
"13388","AC-直播学生端(#10)","通用(#16)","AC_Windows_3.0.0_ACC(#418)","","","pt测试弹窗文案错误，选择等级的对应弹窗文案不对","","3","3","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","娄基深","2020-01-07","主干(#trunk)","Closed","2020-01-09","王财坡","已解决","win_3.1.0ACC(#999)","2020-01-07","娄基深","2020-01-09","0","","","娄基深","2020-01-09","",""
"13391","AC-直播学生端(#10)","通用(#16)","AC_Background_3.0.0_ACC(#440)","","","ACC解锁至单元测试，首页不出现单元测试入口","","2","2","代码错误","","","[步骤][结果][期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2020-01-07","主干(#trunk)","Closed","2020-01-09","黄章明","已解决","主干(#trunk)","2020-01-07","胡春霞","2020-01-09","0","","","胡春霞","2020-01-09","",""
"13393","AC-直播学生端(#10)","通用(#16)","AC_iPad_3.0.0_ACC(#416)","","","ACC-首页-单元测试文案错误问题","","3","3","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2020-01-07","主干(#trunk)","Closed","2020-01-08","龚慧超","已解决","ACC_iPad_3.0.1_0108(#1038)","2020-01-08","胡春霞","2020-01-08","0","","","胡春霞","2020-01-08","",""
"13395","AC-直播学生端(#10)","通用(#16)","AC_iPad_3.0.0_ACC(#416)","","","首页-单元测试-点击前往学习-进入课表页报错，从我的课程进入正常","","2","2","代码错误","","","[步骤]
[结果]
[期望]可以正常进入","已关闭","0000-00-00","0","已确认",",","胡春霞","2020-01-07","主干(#trunk)","Closed","2020-01-08","黄章明","重复Bug","主干(#trunk)","2020-01-07","胡春霞","2020-01-08","【ACC3.0.0后端】-->课次列表接口：/ac-client/class-sch/listStuClassSch/v2返回少了courseDetailLevel(13422)","","","胡春霞","2020-01-08","",""
"13398","AC-直播学生端(#10)","通用(#16)","AC_AndroidPad_3.0.0_ACC(#420)","","","首页-单元测试-点击前往学习-进入课表页报错，从我的课程进入正常","","2","2","代码错误","","","[步骤]
[结果]
[期望]可以正常进入","已关闭","0000-00-00","0","已确认",",","胡春霞","2020-01-07","主干(#trunk)","Closed","2020-01-09","黄章明","重复Bug","主干(#trunk)","2020-01-07","胡春霞","2020-01-09","【ACC3.0.0后端】-->课次列表接口：/ac-client/class-sch/listStuClassSch/v2返回少了courseDetailLevel(13422)","","","胡春霞","2020-01-09","",""
"13403","AC-直播学生端(#10)","通用(#16)","AC_iPhone_3.0.0_ACC(#417)","","","【iPhone3.0.0_ACC】-->学习环节：再次学习speaking环节的时候进去就直接结果页了。","","3","3","代码错误","IOS","","bug描述：线上   测试账号：00120000000







","已关闭","0000-00-00","0","已确认",",","倪明敏","2020-01-07","主干(#trunk)","Closed","2020-01-08","俞立荣","设计如此","iPhone_3.0_ACC_1.8(#1047)","2020-01-08","倪明敏","2020-01-08","0","","","倪明敏","2020-01-08","",""
"13410","AC-直播学生端(#10)","通用(#16)","AC_iPad_3.0.0_ACC(#416)","","","ACC首页无课标识问题","","3","3","其他","","","[步骤]前置条件：当前用户首页无今天要上的ACC课，只有明天要上的ACC课，
        期望：显示今日无课标识
       账号：001200001
       环境：线上环境
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2020-01-07","主干(#trunk)","Closed","2020-01-07","胡春霞","设计如此","主干(#trunk)","2020-01-07","胡春霞","2020-01-07","0","","","胡春霞","2020-01-07","",""
"13411","AC-直播学生端(#10)","通用(#16)","AC_AndroidPad_3.0.0_ACC(#420)","","","ACC首页无课标识问题","","3","3","代码错误","","","[步骤]前置条件：当前用户首页无今天要上的ACC课，只有明天要上的ACC课，
        期望：显示今日无课标识
       账号：001200001
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2020-01-07","主干(#trunk)","Closed","2020-01-09","盛锋","设计如此","主干(#trunk)","2020-01-07","胡春霞","2020-01-09","0","","","胡春霞","2020-01-09","",""
"13413","AC-直播学生端(#10)","通用(#16)","AC_iPad_3.0.0_ACC(#416)","","","首页点击ACC课程按钮区域以外的地方，期望跳转课程列表页","","3","3","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2020-01-07","主干(#trunk)","Closed","2020-01-08","龚慧超","已解决","ACC_iPad_3.0.1_0108(#1038)","2020-01-08","胡春霞","2020-01-08","0","","","胡春霞","2020-01-08","",""
"13415","AC-直播学生端(#10)","通用(#16)","AC_AndroidPad_3.0.0_ACC(#420)","","","首页点击ACC课程按钮区域以外的地方，期望跳转课程列表页","","3","3","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2020-01-07","主干(#trunk)","Closed","2020-01-09","尤灵刚","已解决","AC3.0.0 200107(#1044)","2020-01-07","胡春霞","2020-01-09","0","","","胡春霞","2020-01-09","",""
"13418","AC-直播学生端(#10)","通用(#16)","AC_Background_3.0.0_ACC(#440)","","","【ACC3.0.0后端】-->课次列表接口：/ac-client/class-sch/listStuClassSch/v2返回的环节未完成Icon取的字段错了。","","3","3","代码错误","","","
","已关闭","0000-00-00","0","已确认",",","倪明敏","2020-01-07","主干(#trunk)","Closed","2020-01-08","黄章明","已解决","主干(#trunk)","2020-01-08","倪明敏","2020-01-08","0","","","倪明敏","2020-01-08","",""
"13422","AC-直播学生端(#10)","通用(#16)","AC_Background_3.0.0_ACC(#440)","","","【ACC3.0.0后端】-->课次列表接口：/ac-client/class-sch/listStuClassSch/v2返回少了courseDetailLevel","","2","2","代码错误","","","

","已关闭","0000-00-00","0","已确认",",","倪明敏","2020-01-07","主干(#trunk)","Closed","2020-01-08","黄章明","已解决","主干(#trunk)","2020-01-07","倪明敏","2020-01-08","0","","","倪明敏","2020-01-08","",""
"13424","AC-直播学生端(#10)","通用(#16)","AC_Windows_3.0.0_ACC(#418)","","","有acc课程时，即使今日无课也不显示无课卡片。期望卡片去掉","","3","3","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","娄基深","2020-01-07","主干(#trunk)","Closed","2020-01-09","王财坡","已解决","win_3.1.0ACC(#999)","2020-01-07","娄基深","2020-01-09","0","","","娄基深","2020-01-09","",""
"13452","AC-直播学生端(#10)","通用(#16)","AC_iPad_3.0.0_ACC(#416)","","","Speaking环节，第二次录音地址获取失败的时候，客户端要主动获取H5的地址，H5接收不到任何信息时，页面会卡死i，具体对接高光明","","2","2","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2020-01-08","主干(#trunk)","Closed","2020-01-09","俞立荣","已解决","iPhone_3.0_ACC_1.8(#1047)","2020-01-08","胡春霞","2020-01-09","0","","","胡春霞","2020-01-09","",""
"13439","AC-直播学生端(#10)","通用(#16)","AC_AndroidPad_3.0.0_ACC(#420)","","","ACC课程列表页时间戳=0的时候，期望时间不显示，已跟产品沟通，各个端保持一致","","4","4","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2020-01-07","主干(#trunk)","Closed","2020-01-09","马李鑫","已解决","AC3.0.0 01081122(#1058)","2020-01-08","胡春霞","2020-01-09","0","","","胡春霞","2020-01-09","",""
"13440","AC-直播学生端(#10)","通用(#16)","AC_iPhone_3.0.0_ACC(#417)","","","【iPhone3.0.0_ACC】-->课程列表：unittest的分数整数后面不用.0。","","3","3","代码错误","IOS","","bug描述：预发环境  测试账号：00111111628



","已关闭","0000-00-00","0","已确认",",","倪明敏","2020-01-07","主干(#trunk)","Closed","2020-01-08","周松","已解决","iPhone_3.0_ACC_1.8(#1047)","2020-01-08","倪明敏","2020-01-08","0","","","倪明敏","2020-01-08","",""
"13454","AC-直播学生端(#10)","通用(#16)","ACC_作业模板v1.0(#431)","","","预发环境，17题显示不在词库中","","3","3","代码错误","","","","已关闭","0000-00-00","0","已确认",",","褚涛涛","2020-01-08","主干(#trunk)","Closed","2020-01-10","曾扬平","已解决","主干(#trunk)","2020-01-08","褚涛涛","2020-01-10","0","","","褚涛涛","2020-01-10","",""
"13455","AC-直播学生端(#10)","通用(#16)","AC_iPad_3.0.0_ACC(#416)","","","acc课程结束页-下一环节进入H5页面后，点击左上角的返回，期望返回课程详情页","","3","3","代码错误","","","[步骤][结果][期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2020-01-08","主干(#trunk)","Closed","2020-01-09","龚慧超","已解决","ACC_iPad_3.0.1_0108(#1038)","2020-01-08","胡春霞","2020-01-09","0","","","胡春霞","2020-01-09","",""
"13456","AC-直播学生端(#10)","通用(#16)","ACC_作业模板v1.0(#431)","","","单元测试环节，文字截断","","3","3","代码错误","","","[步骤]
[结果]

[期望]","已关闭","0000-00-00","3","已确认",",","徐漫漫","2020-01-08","主干(#trunk)","Closed","2020-01-11","曾扬平","已解决","主干(#trunk)","2020-01-11","徐漫漫","2020-01-11","0","","","徐漫漫","2020-01-11","",""
"13457","AC-直播学生端(#10)","通用(#16)","ACC_作业模板v1.0(#431)","","","预发布quiz环节第一题报错","","3","","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","黄冬琴","2020-01-08","主干(#trunk)","Closed","2020-01-10","曾扬平","已解决","主干(#trunk)","2020-01-08","黄冬琴","2020-01-10","0","","","黄冬琴","2020-01-10","",""
"13458","AC-直播学生端(#10)","通用(#16)","AC_iPad_3.0.0_ACC(#416)","","","ACC-首页进入列表页-详情页-进入单元测试，再点击左上角的返回一直返回到首页，出现闪退现象，已与龚老师当面连调确认了问题","","2","2","代码错误","","","[步骤][结果][期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2020-01-08","主干(#trunk)","Closed","2020-01-09","龚慧超","已解决","ACC_iPad_3.0.1_0108(#1038)","2020-01-08","胡春霞","2020-01-09","0","","","胡春霞","2020-01-09","",""
"13459","AC-直播学生端(#10)","通用(#16)","ACC_作业模板v1.0(#431)","","","pad错题解析环节，点击返回按钮不需要toast提示","","3","","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","褚涛涛","2020-01-08","主干(#trunk)","Closed","2020-01-10","盛锋","已解决","AC Android 20200109(#1063)","2020-01-09","褚涛涛","2020-01-10","0","","","褚涛涛","2020-01-10","",""
